col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,All
,Timika Lane,Joe Fernandes,Daniel D Mccaffery,Sierra Thomas Street,Anne Marie Coyle,Kenneth J Powell Jr,Dawn M Tancredi,Vince Giusini,Tracy B Roman,James C Crumlish,Stephanie M Sawyer,Giovanni Campbell,Rania Major,Leon A King Ii,John J O Connor Jr,Deborah D Cianfrani,Frank Bennett,Derrick W Coker,Sean P Stevens,Daine A Grey Jr,Conor Corcoran,Jon Marshall,Katie Scrivner,Fran Shields,Alan Butkovitz,Brett Mandel,Mark Zecca,All
Rania Major,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
Sean P Stevens,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4
Daine A Grey Jr,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Deborah D Cianfrani,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Frank Bennett,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,4
John J O Connor Jr,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,4
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4
Conor Corcoran,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4
Derrick W Coker,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4
Fran Shields,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4
Katie Scrivner,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4
Alan Butkovitz,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4
Brett Mandel,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4
Mark Zecca,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,8,6,5,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,7,4,2,4
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,Controller - Democrat,,,5
,Timika Lane,Sierra Thomas Street,Joe Fernandes,Tracy B Roman,Anne Marie Coyle,Vince Giusini,Daniel D Mccaffery,Giovanni Campbell,Dawn M Tancredi,Kenneth J Powell Jr,James C Crumlish,Stephanie M Sawyer,John J O Connor Jr,Rania Major,Deborah D Cianfrani,Derrick W Coker,Frank Bennett,Leon A King Ii,Conor Corcoran,Daine A Grey Jr,Fran Shields,Jon Marshall,Katie Scrivner,Sean P Stevens,Alan Butkovitz,Mark Zecca,Brett Mandel,5
Timika Lane,1,13,13,12,13,7,4,4,3,3,4,2,1,1,1,1,1,1,0,0,0,0,0,0,11,4,2,5
Sierra Thomas Street,,0,11,12,11,8,2,3,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,8,3,1,5
Joe Fernandes,,,1,9,10,8,2,1,1,1,3,2,0,1,1,1,1,0,0,0,0,0,0,0,8,2,0,5
Tracy B Roman,,,,0,11,7,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,1,5
Anne Marie Coyle,,,,,0,7,0,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,7,3,1,5
Vince Giusini,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5
Daniel D Mccaffery,,,,,,,0,3,3,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0,1,5
