col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
,Isaiah Thomas,Derek S Green,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Ed Neilson,W Wilson Goode Jr,Wilson Alexander,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Frank Rizzo,Helen Gym,Carla M Cain,Marnie Aument Loughrey,Paul Steinke,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,7
Isaiah Thomas,27,44,42,31,15,26,19,5,9,15,9,10,6,3,2,4,31,35,26,10,7,8,7
Derek S Green,,9,35,29,14,25,12,14,15,5,5,4,6,4,4,3,50,29,25,5,12,10,7
Blondell Reynolds Brown,,,2,24,14,18,22,8,8,10,6,14,2,4,6,3,31,28,19,9,11,5,7
William K Greenlee,,,,0,7,25,9,1,0,7,2,6,4,1,3,1,10,24,24,3,4,3,7
Allan Domb,,,,,1,3,5,3,6,5,7,3,1,1,4,3,14,7,7,9,7,2,7
Ed Neilson,,,,,,0,3,1,1,2,2,1,2,0,2,0,5,20,22,2,2,3,7
W Wilson Goode Jr,,,,,,,0,4,4,7,4,7,1,2,0,2,19,10,5,5,6,5,7
Wilson Alexander,,,,,,,,0,9,1,5,3,0,1,1,1,21,2,1,3,5,3,7
Jenne Ayers,,,,,,,,,1,0,2,2,0,2,1,0,19,5,0,3,1,4,7
Sherrie Cohen,,,,,,,,,,0,4,4,2,2,1,3,10,9,5,6,2,2,7
Thomas Wyatt,,,,,,,,,,,0,1,2,1,0,5,9,4,3,5,7,1,7
Frank Rizzo,,,,,,,,,,,,0,0,3,0,1,9,2,1,7,1,3,7
Helen Gym,,,,,,,,,,,,,0,0,0,1,2,5,4,1,1,1,7
Carla M Cain,,,,,,,,,,,,,,0,0,0,6,0,0,3,3,1,7
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,0,5,2,0,2,3,0,7
Paul Steinke,,,,,,,,,,,,,,,,0,3,3,2,1,2,1,7
Anthony Clark,,,,,,,,,,,,,,,,,0,12,1,8,14,7,7
Omar Sabir,,,,,,,,,,,,,,,,,,2,22,3,0,0,7
Lisa M Deeley,,,,,,,,,,,,,,,,,,,0,1,0,4,7
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,1,2,1,7
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,0,0,7
Will Mega,,,,,,,,,,,,,,,,,,,,,,0,7
Total,106,94,66,39,33,31,28,22,20,19,17,16,8,7,7,7,77,48,33,22,18,13,7
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,8
,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Sherrie Cohen,Jenne Ayers,Wilson Alexander,Thomas Wyatt,Helen Gym,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Carla M Cain,Anthony Clark,Omar Sabir,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Will Mega,8
Derek S Green,4,49,48,50,39,16,17,10,10,7,8,6,4,3,4,2,36,42,44,7,8,8,8
Blondell Reynolds Brown,,3,36,44,33,16,11,8,3,4,8,6,3,3,5,1,17,41,37,8,6,7,8
Isaiah Thomas,,,5,42,38,13,12,5,3,2,6,6,1,4,0,2,15,36,38,9,2,4,8
