col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,12
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Allan Domb,Ed Neilson,Sherrie Cohen,Helen Gym,Jenne Ayers,Frank Rizzo,Wilson Alexander,Carla M Cain,Thomas Wyatt,Paul Steinke,Marnie Aument Loughrey,12
Alice Beck Dubow,7,0,117,110,97,70,59,54,51,43,36,27,20,18,9,11,13,10,12
Robert Colville,,0,7,6,5,3,5,6,0,3,2,4,5,4,2,2,1,1,12
Derek S Green,,,3,70,76,61,35,22,53,20,17,16,14,13,9,9,7,7,12
Blondell Reynolds Brown,,,,1,67,52,46,43,36,30,20,14,15,9,2,5,7,5,12
Isaiah Thomas,,,,,3,60,30,27,55,19,17,12,12,2,9,3,7,2,12
William K Greenlee,,,,,,0,13,13,48,9,9,5,8,8,4,3,3,3,12
W Wilson Goode Jr,,,,,,,4,24,10,23,20,7,16,5,5,8,3,2,12
Allan Domb,,,,,,,,4,4,20,18,10,11,8,6,7,8,4,12
Ed Neilson,,,,,,,,,0,7,7,0,1,4,5,1,1,1,12
Sherrie Cohen,,,,,,,,,,2,15,10,10,5,9,5,2,1,12
Helen Gym,,,,,,,,,,,0,5,5,3,4,3,4,2,12
Jenne Ayers,,,,,,,,,,,,0,5,5,4,0,4,4,12
Frank Rizzo,,,,,,,,,,,,,0,2,2,3,2,1,12
Wilson Alexander,,,,,,,,,,,,,,0,1,3,3,3,12
Carla M Cain,,,,,,,,,,,,,,,1,4,2,1,12
Thomas Wyatt,,,,,,,,,,,,,,,,2,0,1,12
Paul Steinke,,,,,,,,,,,,,,,,,0,1,12
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,12
Total,204,15,143,127,123,86,76,73,63,56,43,33,30,22,20,18,14,11,12
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,13
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Helen Gym,Wilson Alexander,Carla M Cain,Thomas Wyatt,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,13
Alice Beck Dubow,5,0,93,79,74,59,43,32,35,23,15,15,10,10,13,12,12,3,13
Robert Colville,,0,4,4,5,4,2,3,1,2,2,0,1,1,1,1,1,1,13
Derek S Green,,,2,71,60,58,40,23,22,16,9,8,10,8,8,4,9,1,13
Blondell Reynolds Brown,,,,8,65,58,37,28,19,11,9,9,3,3,3,6,8,2,13
Isaiah Thomas,,,,,4,49,44,27,20,7,7,9,2,0,4,6,5,1,13
William K Greenlee,,,,,,0,41,16,15,3,3,5,2,1,2,3,7,2,13
Ed Neilson,,,,,,,0,8,6,1,1,2,0,0,0,1,1,0,13
W Wilson Goode Jr,,,,,,,,3,12,5,7,6,3,4,2,4,7,0,13
Allan Domb,,,,,,,,,3,8,8,4,5,8,7,7,4,2,13
Jenne Ayers,,,,,,,,,,1,7,4,7,8,7,6,2,0,13
Sherrie Cohen,,,,,,,,,,,0,7,4,3,3,4,4,0,13
Helen Gym,,,,,,,,,,,,0,2,1,0,2,1,0,13
Wilson Alexander,,,,,,,,,,,,,0,4,3,4,0,1,13
Carla M Cain,,,,,,,,,,,,,,0,8,3,1,1,13
Thomas Wyatt,,,,,,,,,,,,,,,0,2,1,2,13
Paul Steinke,,,,,,,,,,,,,,,,0,0,0,13
Frank Rizzo,,,,,,,,,,,,,,,,,0,0,13
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,13
Total,142,10,115,109,93,76,50,49,48,31,21,19,17,15,15,14,13,4,13
,Judge Of The Superior Court - Democrat,,Council At Large - Democrat,,,,,,,,,,,,,,,,14
,Alice Beck Dubow,Robert Colville,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,William K Greenlee,W Wilson Goode Jr,Ed Neilson,Allan Domb,Helen Gym,Thomas Wyatt,Sherrie Cohen,Jenne Ayers,Paul Steinke,Frank Rizzo,Carla M Cain,Wilson Alexander,Marnie Aument Loughrey,14
Alice Beck Dubow,6,0,79,72,63,52,25,36,17,23,18,17,13,12,7,11,7,5,14
Robert Colville,,0,5,3,6,0,6,0,2,1,1,4,3,0,5,0,2,0,14
Derek S Green,,,4,67,65,50,25,37,17,15,23,9,12,15,5,6,7,4,14
Blondell Reynolds Brown,,,,2,51,44,24,30,13,16,8,13,8,4,7,6,4,4,14
Isaiah Thomas,,,,,2,41,21,32,12,14,15,11,4,10,7,4,5,1,14
William K Greenlee,,,,,,0,10,31,6,7,5,4,3,4,4,1,1,1,14
W Wilson Goode Jr,,,,,,,0,5,13,7,6,5,6,2,8,0,2,0,14
Ed Neilson,,,,,,,,0,3,4,3,0,0,1,1,1,1,1,14
Allan Domb,,,,,,,,,2,7,7,6,6,2,3,2,3,1,14
Helen Gym,,,,,,,,,,1,3,9,2,3,2,5,1,2,14
Thomas Wyatt,,,,,,,,,,,0,6,4,10,2,4,3,2,14
Sherrie Cohen,,,,,,,,,,,,1,1,3,6,4,1,3,14
Jenne Ayers,,,,,,,,,,,,,0,3,2,5,7,0,14
Paul Steinke,,,,,,,,,,,,,,0,0,0,1,1,14
Frank Rizzo,,,,,,,,,,,,,,,0,0,0,3,14
Carla M Cain,,,,,,,,,,,,,,,,0,2,0,14
Wilson Alexander,,,,,,,,,,,,,,,,,1,1,14
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,0,14
