col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
Ken Washington,,,0,25,24,17,7,7,6,4,3,3,2,1,5,14
Dewayne Drummond,,,,0,24,16,5,5,4,2,2,3,2,0,6,14
Liam G Boyle,,,,,0,16,6,6,5,3,2,3,2,0,7,14
Kevin Bundy,,,,,,0,1,2,1,1,2,2,0,0,8,14
Lisa Rhodes,,,,,,,0,5,5,2,1,0,1,1,9,14
Monica Maria Djerassi,,,,,,,,0,4,2,1,1,0,1,10,14
Linda Norris,,,,,,,,,0,2,1,0,1,1,11,14
John Brady,,,,,,,,,,0,0,1,0,0,12,14
Nat Lownes,,,,,,,,,,,0,2,0,1,13,14
Rebecca Poyourow,,,,,,,,,,,,0,0,0,14,14
Jacque Whaumbush,,,,,,,,,,,,,0,0,15,14
Joe Khan,,,,,,,,,,,,,,0,16,14
Total,42,34,29,26,26,18,7,7,6,4,3,3,2,1,17,14
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,15
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Jacque Whaumbush,Rebecca Poyourow,John Brady,Nat Lownes,Joe Khan,2,15
Tom Wolf,6,26,22,21,18,12,11,11,9,5,4,3,2,1,3,15
Kathryn S Huggins,,0,18,19,16,10,11,11,9,5,3,2,2,0,4,15
Ken Washington,,,0,18,17,9,9,9,8,3,3,2,2,1,5,15
Dewayne Drummond,,,,0,17,11,9,9,7,4,3,3,2,1,6,15
Liam G Boyle,,,,,0,10,6,6,6,1,2,2,1,1,7,15
Kevin Bundy,,,,,,0,1,1,0,2,2,3,1,1,8,15
Linda Norris,,,,,,,0,11,9,4,2,1,1,0,9,15
Lisa Rhodes,,,,,,,,0,9,4,2,1,1,0,10,15
Monica Maria Djerassi,,,,,,,,,0,2,2,0,0,0,11,15
Jacque Whaumbush,,,,,,,,,,0,2,2,1,0,12,15
Rebecca Poyourow,,,,,,,,,,,0,1,1,1,13,15
John Brady,,,,,,,,,,,,0,0,1,14,15
Nat Lownes,,,,,,,,,,,,,0,0,15,15
Joe Khan,,,,,,,,,,,,,,0,16,15
Total,37,26,22,21,18,12,11,11,9,5,4,3,2,1,17,15
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,16
,Tom Wolf,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Lisa Rhodes,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Kevin Bundy,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,Rebecca Poyourow,2,16
Tom Wolf,4,35,32,28,23,21,20,18,17,6,4,3,3,2,3,16
Ken Washington,,0,25,28,23,20,20,17,15,6,4,3,3,2,4,16
Kathryn S Huggins,,,0,24,19,19,18,15,11,5,2,2,1,2,5,16
Dewayne Drummond,,,,0,20,20,18,17,13,3,1,2,2,1,6,16
Lisa Rhodes,,,,,0,15,20,18,8,6,4,3,3,2,7,16
Liam G Boyle,,,,,,0,13,14,7,2,0,0,1,1,8,16
Linda Norris,,,,,,,0,17,6,4,3,2,0,2,9,16
Monica Maria Djerassi,,,,,,,,0,3,1,1,0,1,1,10,16
Kevin Bundy,,,,,,,,,0,5,3,2,2,2,11,16
John Brady,,,,,,,,,,0,3,2,2,3,12,16
Jacque Whaumbush,,,,,,,,,,,0,1,1,1,13,16
Joe Khan,,,,,,,,,,,,0,1,0,14,16
Nat Lownes,,,,,,,,,,,,,0,1,15,16
Rebecca Poyourow,,,,,,,,,,,,,,0,16,16
Total,49,36,33,29,24,22,21,19,17,7,4,3,3,3,17,16
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,17
,Tom Wolf,Ken Washington,Dewayne Drummond,Kathryn S Huggins,Liam G Boyle,Linda Norris,Kevin Bundy,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Nat Lownes,John Brady,2,17
Tom Wolf,6,31,30,27,26,13,11,11,11,2,2,2,1,0,3,17
Ken Washington,,0,27,25,27,12,11,11,11,3,1,1,2,0,4,17
Dewayne Drummond,,,0,24,26,12,10,11,11,2,1,1,2,0,5,17
Kathryn S Huggins,,,,0,24,11,10,10,9,3,1,2,2,0,6,17
Liam G Boyle,,,,,0,11,9,11,11,2,1,1,2,0,7,17
Linda Norris,,,,,,0,2,12,9,1,0,0,0,0,8,17
Kevin Bundy,,,,,,,0,1,1,3,0,1,2,0,9,17
Lisa Rhodes,,,,,,,,0,9,0,0,0,0,0,10,17
Monica Maria Djerassi,,,,,,,,,0,0,1,0,0,0,11,17
Rebecca Poyourow,,,,,,,,,,0,0,0,2,0,12,17
Jacque Whaumbush,,,,,,,,,,,0,1,0,0,13,17
Joe Khan,,,,,,,,,,,,0,0,0,14,17
Nat Lownes,,,,,,,,,,,,,0,0,15,17
John Brady,,,,,,,,,,,,,,0,16,17
Total,44,33,31,29,28,14,12,12,12,3,2,2,2,0,17,17
,Governor - Democrat,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,18
,Tom Wolf,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,John Brady,2,18
Tom Wolf,6,33,28,27,27,17,14,14,13,13,9,5,4,3,3,18
Kathryn S Huggins,,0,22,23,23,16,11,10,11,10,8,3,3,3,4,18
Ken Washington,,,1,23,25,17,9,10,10,8,7,3,1,1,5,18
Dewayne Drummond,,,,0,23,14,9,9,10,8,8,4,1,0,6,18
Liam G Boyle,,,,,0,16,10,11,11,10,7,3,1,0,7,18
Kevin Bundy,,,,,,0,2,2,3,7,7,2,1,1,8,18
Linda Norris,,,,,,,0,13,9,6,2,3,4,2,9,18
Lisa Rhodes,,,,,,,,0,10,6,1,2,4,2,10,18
Monica Maria Djerassi,,,,,,,,,0,4,1,1,2,1,11,18
Rebecca Poyourow,,,,,,,,,,0,7,3,3,1,12,18
Nat Lownes,,,,,,,,,,,0,3,1,0,13,18
Joe Khan,,,,,,,,,,,,0,1,0,14,18
Jacque Whaumbush,,,,,,,,,,,,,0,2,15,18
John Brady,,,,,,,,,,,,,,0,16,18
Total,47,34,29,27,27,17,14,14,13,13,9,5,4,4,17,18
