col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Rhea Powell,,,,,,,,,,,,,,0,0,16,12
Tom Young,,,,,,,,,,,,,,,0,17,12
Total,58,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,13
,Dwight Evans,Kevin Johnson,Rhea Powell,Tom Young,Micah Mahjoubian,Andi Perez,Marylouise Isaacson,Darrell L Clarke,Noam Kugelmass,Amanda Mcillmurray,Joe Celentano,Judi Golding Baker,Mariel J K Martin,Jon Geeting,Matthew D Myers,2,13
Dwight Evans,8,0,22,16,17,14,15,13,15,13,14,8,6,7,2,3,13
Kevin Johnson,,3,12,9,6,8,7,6,3,5,3,6,7,3,6,4,13
Rhea Powell,,,0,21,20,16,20,11,15,15,14,14,12,7,7,5,13
Tom Young,,,,0,20,14,15,12,12,7,14,7,9,6,8,6,13
Micah Mahjoubian,,,,,0,12,13,9,12,7,14,7,6,7,6,7,13
Andi Perez,,,,,,0,18,12,7,11,7,8,10,7,6,8,13
Marylouise Isaacson,,,,,,,0,12,7,14,7,13,12,5,6,9,13
Darrell L Clarke,,,,,,,,0,3,5,2,7,8,1,5,10,13
Noam Kugelmass,,,,,,,,,0,5,10,4,4,3,1,11,13
Amanda Mcillmurray,,,,,,,,,,0,8,10,9,6,2,12,13
Joe Celentano,,,,,,,,,,,0,3,3,7,3,13,13
Judi Golding Baker,,,,,,,,,,,,0,7,1,2,14,13
Mariel J K Martin,,,,,,,,,,,,,0,2,5,15,13
Jon Geeting,,,,,,,,,,,,,,0,4,16,13
Matthew D Myers,,,,,,,,,,,,,,,0,17,13
Total,45,17,35,27,25,23,23,21,19,18,17,14,14,10,9,18,13
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,14
,Dwight Evans,Kevin Johnson,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Micah Mahjoubian,Judi Golding Baker,Tom Young,Noam Kugelmass,Joe Celentano,Darrell L Clarke,Matthew D Myers,Jon Geeting,2,14
Dwight Evans,9,0,20,22,22,21,17,19,14,22,17,13,15,14,10,3,14
Kevin Johnson,,3,15,14,12,12,11,8,11,3,5,8,4,2,3,4,14
Rhea Powell,,,2,31,26,24,20,19,24,16,15,14,12,9,9,5,14
Amanda Mcillmurray,,,,0,29,27,23,20,26,18,16,16,13,10,10,6,14
Marylouise Isaacson,,,,,0,27,25,21,23,19,13,9,16,14,8,7,14
Andi Perez,,,,,,0,25,20,21,18,11,14,16,13,8,8,14
Mariel J K Martin,,,,,,,0,18,19,14,11,11,11,10,5,9,14
Micah Mahjoubian,,,,,,,,0,14,18,12,11,13,10,7,10,14
Judi Golding Baker,,,,,,,,,0,10,11,10,10,10,5,11,14
Tom Young,,,,,,,,,,0,16,13,13,12,9,12,14
Noam Kugelmass,,,,,,,,,,,0,12,4,5,9,13,14
Joe Celentano,,,,,,,,,,,,0,4,4,8,14,14
Darrell L Clarke,,,,,,,,,,,,,0,12,3,15,14
Matthew D Myers,,,,,,,,,,,,,,0,2,16,14
Jon Geeting,,,,,,,,,,,,,,,0,17,14
Total,46,22,40,39,37,35,31,29,28,28,23,22,21,18,13,18,14
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,15
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,15
Dwight Evans,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
Kevin Johnson,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,15
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,15
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,15
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,15
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,15
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,15
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,15
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,15
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,15
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,15
Rhea Powell,,,,,,,,,,,,,,0,0,16,15
Tom Young,,,,,,,,,,,,,,,0,17,15
Total,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,16
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,16
Dwight Evans,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
Kevin Johnson,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
